"code","areatype","areaname","indicator","type_definition","definition_period","trend_axis","numerator","measure","upper_confidence_interval","lower_confidence_interval"
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2007 calendar year","2007",57,8.7,11.3,6.6
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",574,10.8,11.8,10
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",39,11.3,15.4,8
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",7,7,14.5,2.7
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",8,6.3,12.6,2.7
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",22,7.5,11.4,4.7
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",39,6.6,9.1,4.7
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",24,8.2,12.2,5.2
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",93,10.5,12.8,8.4
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",NA,7.1,39.6,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",NA,4.6,25.7,0.1
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",NA,14,40.9,2.8
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",37,10.1,13.9,7.1
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",52,13.6,17.9,10.1
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",187,16.1,18.6,13.9
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2008 calendar year","2008",53,8,10.4,5.9
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",545,10.3,11.2,9.4
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",38,11.3,15.6,8
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",5,5.1,12.1,1.6
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",8,6.5,12.9,2.7
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",14,4.8,8.1,2.6
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",52,8.9,11.7,6.6
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",21,6.9,10.6,4.3
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",81,9.2,11.4,7.3
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",NA,0,0,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",NA,0,0,0
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",NA,8.3,30.3,0.9
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",32,9.1,12.9,6.2
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",44,11.4,15.3,8.3
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",193,16.6,19.2,14.4
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2009 calendar year","2009",54,8.2,10.7,6.1
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",485,9.1,10,8.3
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",31,8.8,12.6,6
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",9,9,17.2,4
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",5,3.5,8.2,1.1
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",18,6.2,9.9,3.7
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",43,7.1,9.6,5.2
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",10,3.3,6.1,1.6
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",73,8.3,10.4,6.5
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",NA,9.7,35.1,1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",NA,8.5,30.8,1
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",NA,3.6,20,0
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",35,10.2,14.2,7.1
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",34,8.6,12,5.9
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",158,13.5,15.8,11.4
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2010 calendar year","2010",62,9.5,12.2,7.3
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",584,11,12,10.1
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",47,13.1,17.5,9.6
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",8,8.8,17.4,3.7
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",12,9.6,17,4.9
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",26,8.8,12.9,5.7
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",58,9.7,12.6,7.4
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",33,11.5,16.1,7.9
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",73,8.1,10.2,6.3
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",NA,0,0,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",NA,13.6,39.6,2.7
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",NA,4.3,24.2,0.1
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",34,9.8,13.7,6.8
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",45,11.9,15.9,8.6
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",183,15.8,18.3,13.6
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2011 calendar year","2011",61,9.3,12,7.1
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",581,11,11.9,10.1
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",42,12.1,16.3,8.7
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",7,6.3,13.1,2.4
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",6,4.7,10.3,1.7
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",31,10.5,15,7.1
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",31,5.2,7.4,3.5
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",22,7.2,10.9,4.5
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",90,10.5,12.9,8.4
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",NA,4.9,27.1,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",NA,8.8,31.7,1
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",NA,3.5,19.3,0
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",38,10.8,14.8,7.6
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",55,14,18.3,10.5
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",187,16.4,19,14.1
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2012 calendar year","2012",67,10.3,13.1,8
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",527,10,10.9,9.2
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",36,11,15.3,7.7
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",8,8.6,17.1,3.6
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",9,7.1,13.7,3.2
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",24,8.1,12.1,5.2
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",50,8.8,11.6,6.5
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",18,6.1,9.7,3.6
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",89,10.2,12.6,8.2
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",NA,5.2,29.2,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",NA,0,0,0
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",NA,6.7,24.1,0.7
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",40,11.6,15.9,8.3
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",37,9.5,13.1,6.7
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",138,12,14.2,10.1
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2013 calendar year","2013",75,11.6,14.5,9.1
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",614,11.7,12.7,10.8
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",43,13,17.5,9.3
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",11,12.7,22.8,6.2
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",14,10.9,18.5,5.8
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",25,8.4,12.4,5.4
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",36,6.1,8.4,4.2
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",25,8.2,12.1,5.2
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",105,11.9,14.4,9.7
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",NA,0,0,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",NA,18.2,46.8,4.9
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",NA,4.6,25.4,0.1
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",47,13.6,18.2,10
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",48,12.4,16.5,9.1
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",189,16.8,19.4,14.4
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2014 calendar year","2014",66,10.3,13.1,7.9
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",706,13.5,14.6,12.5
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",43,12.9,17.4,9.3
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",13,11.9,20.5,6.2
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",11,9.4,16.9,4.6
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",31,10.6,15.1,7.2
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",69,11.8,14.9,9.2
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",35,11.3,15.8,7.8
